Компания,Сайт,Сегмент,Имя контакта,Роль/отдел,Email,Персонализация,Источник персонализации,Источник контакта,Источник email,Статус
Битрикс24,https://www.bitrix24.ru/,CRM и автоматизация продаж,public contact found,Коммерческий отдел,in***@1c-bitrix.ru,"Битрикс24 сейчас закрывает CRM, задачи, сайты и телефонию в одном продукте — при таком охвате функций у вас наверняка несколько разных ICP, которые стоит тестировать по отдельности.",bitrix24.ru,redacted in public portfolio,bitrix24.ru/about/contacts.php,email дозаполнен; masked public demo
amoCRM,https://www.amocrm.ru/,CRM для отделов продаж,public contact found,Клиентский отдел,su***@amocrm.ru,"amoCRM позиционирует себя как CRM именно для продаж, а не для всего сразу — значит ваша аудитория уже понимает ценность воронки и может оценить дополнительный канал лидов.",amocrm.ru,redacted in public portfolio,amocrm.ru/contacts/,email найден на сайте; masked public demo
Мегаплан,https://megaplan.ru/,CRM и управление бизнесом,public contact found,Коммерческий отдел,in***@megaplan.ru,"Мегаплан подходит для производства, оптовых продаж и стройки — это B2B-ниши, где холодный email работает особенно хорошо из-за длинного цикла сделки.",megaplan.ru,redacted in public portfolio,megaplan.ru,email найден на сайте; masked public demo
ПланФикс,https://planfix.ru/,управление задачами и процессами,public contact found,Клиентский отдел,su***@planfix.ru,"ПланФикс — центр управления компанией с задачами, проектами и планированием. Продукт гибкий, но именно поэтому нужно точно попадать в боль конкретного сегмента при аутриче.",planfix.ru,redacted in public portfolio,startpack.ru,email дозаполнен; masked public demo
МойСклад,https://www.moysklad.ru/,облачный учет для торговли,public contact found,Клиентский отдел,su***@moysklad.ru,"МойСклад — первая в РФ облачная ERP для малого бизнеса, заявляете экономию до 50% при автоматизации магазина. Это сильный оффер, который можно усилить точечным аутричем на торговые компании.",moysklad.ru,redacted in public portfolio,moysklad.ru,email найден на сайте; masked public demo
Контур,https://kontur.ru/,B2B SaaS и ЭДО,public contact found,Коммерческий отдел,in***@skbkontur.ru,"У Контура широкий B2B-портфель: ЭДО, отчётность, банк, маркет — при таком количестве продуктов каждый можно продвигать через отдельную аутрич-кампанию с разным ICP.",kontur.ru,redacted in public portfolio,whoiswho.comnews.ru,email дозаполнен; masked public demo
СБИС,https://sbis.ru/,ЭДО и автоматизация,public contact found,Коммерческий отдел,te***@tensor.ru,"СБИС (Saby) объединяет документооборот, бухгалтерию, задачи и HR в одной системе. Ваш рынок — компании, которые переезжают с разрозненных решений, и их можно точно вычислить через аутрич.",sbis.ru,redacted in public portfolio,sbis.ru,email найден на сайте; masked public demo
Calltouch,https://www.calltouch.ru/,сквозная аналитика и коллтрекинг,public contact found,Отдел продаж,sa***@calltouch.net,"Calltouch закрывает привлечение, конвертацию и аналитику клиентов. Видел, что запустили Предикт для AI-квалификации звонков — компания явно растёт и тестирует новые каналы.",calltouch.ru,redacted in public portfolio,calltouch.ru,email найден на сайте; masked public demo
CoMagic,https://www.comagic.ru/,коллтрекинг и коммуникации,public contact found,Коммерческий отдел,in***@uiscom.ru,"CoMagic — единая система управления коммуникациями для маркетинга и продаж. Ваши клиенты уже следят за метриками, значит разговор про ROI аутрича будет на их языке.",comagic.ru,redacted in public portfolio,comagic.ru,email найден на сайте; masked public demo
UIS,https://www.uiscom.ru/,виртуальная АТС,public contact found,Коммерческий отдел,in***@uiscom.ru,"UIS позиционируется как единая платформа коммуникаций для маркетинга и продаж — это B2B-продукт с понятным ROI, который хорошо продаётся через холодный email.",uiscom.ru,redacted in public portfolio,uiscom.ru,email найден на сайте; masked public demo
Roistat,https://roistat.com/ru/,маркетинговая аналитика,public contact found,Коммерческий отдел,ma***@roistat.com,У Roistat 28 инструментов для маркетологов и руководителей продаж. Платформа помогает оптимизировать рекламу — а значит ваши клиенты уже мыслят в терминах стоимости лида и конверсий.,roistat.com,redacted in public portfolio,roistat.com,email найден на сайте; masked public demo
Mango Office,https://www.mango-office.ru/,виртуальная АТС для бизнеса,public contact found,Отдел продаж,sa***@mangotele.com,"Mango Office покрывает телефонизацию бизнеса по всей России — облачные коммуникации с широкой географией, где у каждого региона свои B2B-клиенты для точечного аутрича.",mango-office.ru,redacted in public portfolio,mango-office.ru,email найден на сайте; masked public demo
Oktell,https://www.oktell.ru/,контакт-центры и телефония,public contact found,Коммерческий отдел,ma***@oktell.ru,"Oktell строит единые центры коммуникаций — нишевый продукт для компаний с контакт-центрами, где ЛПР хорошо понимают экономику каждого звонка.",oktell.ru,redacted in public portfolio,oktell.ru,email найден на сайте; masked public demo
Naumen,https://www.naumen.ru/,enterprise software,public contact found,Отдел продаж,sa***@naumen.ru,"Naumen — вендор и интегратор для бизнеса и госструктур, заявляют «российские разработки, способные лидировать на мировом рынке». Enterprise-сегмент с длинным циклом продаж — идеально для аутрича.",naumen.ru,redacted in public portfolio,naumen.ru,email найден на сайте; masked public demo
Usedesk,https://usedesk.ru/,helpdesk и клиентская поддержка,public contact found,Клиентский отдел,su***@usedesk.ru,"Usedesk — хелпдеск с AI-функциями, поддерживает до 20 каналов коммуникации. Ваши клиенты — компании с командами поддержки, которые считают стоимость обращения.",usedesk.ru,redacted in public portfolio,usedesk.ru,email найден на сайте; masked public demo
Jivo,https://www.jivo.ru/,омниканальные коммуникации,public contact found,Коммерческий отдел,in***@jivo.ru,"Jivo объединяет чат, телефонию, обратные звонки, мессенджеры, CRM и e-mail в одном интерфейсе. Продукт массовый — аутрич может закрыть тех, кто до вас не дошёл через органику.",jivo.ru,redacted in public portfolio,jivo.ru,email найден на сайте; masked public demo
Carrot quest,https://www.carrotquest.io/,маркетинг-автоматизация,public contact found,Коммерческий отдел,su***@carrotquest.io,Carrot quest обещает +25% к выручке через автоматизацию лидогенерации и прогрева. У вас есть конкретная метрика в оффере — это можно использовать и в холодных письмах.,carrotquest.io,redacted in public portfolio,carrotquest.io,email найден на сайте; masked public demo
Mindbox,https://mindbox.ru/,CDP и маркетинг-автоматизация,public contact found,Коммерческий отдел,in***@mindbox.ru,"Mindbox — CDP-платформа для маркетинг-автоматизации, работает с крупным ритейлом и e-commerce. Enterprise-клиенты с длинным циклом сделки — классика для холодного B2B-аутрича.",mindbox.ru,redacted in public portfolio,mindbox.ru/contacts/,email найден на сайте; masked public demo
Retail Rocket,https://retailrocket.ru/,персонализация для e-commerce,public contact found,Коммерческий отдел,he***@retailrocket.io,"Retail Rocket Group — единый центр управления маркетингом с 1000+ клиентов за 12+ лет. CDP, рекомендации, умный поиск — продукт зрелый, аутрич может привлечь новый сегмент.",retailrocket.ru,redacted in public portfolio,retailrocket.ru,email найден на сайте; masked public demo
UniSender,https://www.unisender.com/ru/,email-маркетинг,public contact found,Клиентский отдел,su***@unisender.com,"UniSender даёт 1500 email бесплатно и упирает на простоту: создай рассылку за минуты, A/B-тесты, автоматизация. Ваши пользователи уже верят в email как канал — им будет понятен и аутрич.",unisender.com,redacted in public portfolio,unisender.com,email найден на сайте; masked public demo
DashaMail,https://dashamail.ru/,email-маркетинг,public contact found,Коммерческий отдел,in***@dashamail.ru,"DashaMail — российский сервис email-рассылок с блочным редактором и бесплатной техподдержкой. Конкурируете с UniSender и SendPulse, аутрич может дать преимущество в привлечении.",dashamail.ru,redacted in public portfolio,dashamail.ru,email найден на сайте; masked public demo
Sendsay,https://sendsay.ru/,email и omnichannel рассылки,public contact found,Коммерческий отдел,mo***@sendsay.ru,"Sendsay работает с email и omnichannel-рассылками, офисы в Москве, Петербурге и Казахстане — это зрелый B2B-сервис с понятной аудиторией маркетологов.",sendsay.ru,redacted in public portfolio,sendsay.ru/contacts/,email найден на сайте; masked public demo
Envybox,https://envybox.io/,виджеты продаж для сайта,public contact found,Клиентский отдел,su***@envybox.io,"Envybox обещает больше лидов уже через 9 минут после установки виджетов. Быстрый результат — ваш козырь, и аутрич на компании с низкой конверсией сайта будет попадать в боль.",envybox.io,redacted in public portfolio,envybox.io,email найден на сайте; masked public demo
LPgenerator,https://lpgenerator.ru/,лендинги и лидогенерация,public contact found,Коммерческий отдел,su***@lpgenerator.ru,"LPgenerator позволяет создавать лендинги без знания HTML — ваша аудитория малый бизнес и маркетологи, которые ценят скорость запуска и конверсию.",lpgenerator.ru,redacted in public portfolio,lpgenerator.ru,email найден на сайте; masked public demo
Tilda,https://tilda.cc/ru/,конструктор сайтов,public contact found,Коммерческий отдел,te***@tilda.cc,"Tilda — создание сайта и интернет-магазина без кода, публикация в тот же день. Масштабный продукт с огромной базой, где холодный аутрич может привести B2B-клиентов, которые не пришли через self-service.",tilda.cc,redacted in public portfolio,tilda.cc,email найден на сайте; masked public demo
Nethouse,https://nethouse.ru/,конструктор сайтов и e-commerce,public contact found,Клиентский отдел,su***@nethouse.ru,"Nethouse предлагает 100+ адаптивных шаблонов, домен и SSL бесплатно. Конкурируете с Tilda в сегменте малого бизнеса — аутрич на тех, кто только думает о переезде, может дать рост.",nethouse.ru,redacted in public portfolio,nethouse.ru,email найден на сайте; masked public demo
YCLIENTS,https://www.yclients.com/,онлайн-запись и CRM,public contact found,Клиентский отдел,su***@yclients.com,"YCLIENTS автоматизирует сферу услуг: салоны, клиники, фитнес. Рынок фрагментированный, каждая студия — потенциальный клиент, и аутрич тут масштабируется отлично.",yclients.com,redacted in public portfolio,yclients.com/info/contacts,email дозаполнен; masked public demo
Контур.Маркет,https://kontur.ru/market/,учет для розницы,public contact found,Клиентский отдел,ko***@skbkontur.ru,"Контур.Маркет помогает рознице с продажами, кассой и учётом — продаёте в сегмент, где ценят понятный экономический эффект и считают каждую копейку.",kontur.ru/market,redacted in public portfolio,play.google.com,email дозаполнен; masked public demo
Эвотор,https://evotor.ru/,кассы и сервисы для бизнеса,public contact found,Коммерческий отдел,in***@evotor.ru,"Эвотор продаёт онлайн-кассы с ФН и ОФД, бесплатная доставка по всей России. Ваши клиенты — ИП и ООО, которые открывают точки, и их можно находить через аутрич в момент регистрации.",evotor.ru,redacted in public portfolio,evotor.ru,email найден на сайте; masked public demo
АТОЛ,https://www.atol.ru/,кассовые решения,public contact found,Коммерческий отдел,in***@atol.ru,"АТОЛ специализируется на автоматизации розницы и общепита: кассы, ПО и оборудование. Продаёте через отраслевые сценарии — аутрич по конкретным нишам будет точнее.",atol.ru,redacted in public portfolio,rutoken.ru (партнёр),email дозаполнен; masked public demo
Первый Бит,https://www.1cbit.ru/,интегратор 1С,public contact found,Коммерческий отдел,1***@1cbit.ru,"Первый Бит — крупный интегратор 1С и автоматизации бизнеса. Можете сегментировать аутрич по отраслям, типам учёта и размеру компании — база для таргетинга огромная.",1cbit.ru,redacted in public portfolio,1cbit.ru/contacts/,email дозаполнен; masked public demo
K50,https://k50.ru/,performance-маркетинг,public contact found,Коммерческий отдел,we***@k50.ru,"K50 оптимизирует контекстную, таргетированную и мобильную рекламу. Ваши клиенты — рекламодатели и агентства, которые уже считают KPI и поймут экономику аутрича.",k50.ru,redacted in public portfolio,k50.ru,email найден на сайте; masked public demo
eLama,https://elama.ru/,управление рекламой,public contact found,Коммерческий отдел,mi***@elama.ru,"eLama работает с 25+ рекламными системами, есть партнёрская программа для агентств. Аутрич на фрилансеров и небольшие агентства — канал, который редко используют в вашей нише.",elama.ru,redacted in public portfolio,elama.ru,email найден на сайте; masked public demo
Click.ru,https://click.ru/,платформа интернет-рекламы,public contact found,Клиентский отдел,su***@click.ru,Click.ru предлагает автоматизацию рекламы и возврат до 19% от расходов. Кэшбек на рекламу — сильный крючок для аутрича на агентства и фрилансеров.,click.ru,redacted in public portfolio,click.ru,email найден на сайте; masked public demo
LPTracker,https://lptracker.ru/,CRM и коллтрекинг,public contact found,Коммерческий отдел,1***@lptracker.ru,"LPTracker сочетает голосовых роботов, CRM, аналитику и захват посетителей сайта. Это полный цикл от лида до сделки — аутрич поможет масштабировать верх воронки.",lptracker.ru,redacted in public portfolio,lptracker.io,email дозаполнен; masked public demo
Бипиум,https://bipium.ru/,no-code CRM,public contact found,Коммерческий отдел,pr***@bpium.ru,"Бипиум — no-code платформа для корпоративных систем. Ваши клиенты — операционные директора и руководители подразделений, которых сложно достать через рекламу, но легко через email.",bipium.ru,redacted in public portfolio,realnoevremya.ru,email дозаполнен; masked public demo
ELMA365,https://elma365.com/ru/,low-code BPM и CRM,public contact found,Отдел продаж,pa***@elma365.com,"ELMA365 — low-code платформа с BPM, CRM, КЭДО и Service. Экосистема внушительная, и каждый модуль можно продвигать на свой сегмент через отдельный аутрич-кампейн.",elma365.com,redacted in public portfolio,elma365.com,email найден на сайте; masked public demo
Comindware,https://www.comindware.ru/,BPM и управление процессами,public contact found,Коммерческий отдел,p***@comindware.ru,"Comindware обещает создание корпоративных приложений в 10 раз быстрее. Ваши клиенты — компании в трансформации, которые ищут конкретные результаты в короткие сроки.",comindware.ru,redacted in public portfolio,comindware.ru,email найден на сайте; masked public demo
Pyrus,https://pyrus.com/ru/,управление процессами,public contact found,Клиентский отдел,su***@pyrus.com,"Pyrus — low-code BPM для обработки обращений, проектов и документов без IT-специалистов. Ваш ICP — средний бизнес, который хочет автоматизацию, но не готов к enterprise-внедрению.",pyrus.com,redacted in public portfolio,pyrus.com,email найден на сайте; masked public demo
Пачка,https://www.pachca.com/,корпоративный мессенджер,public contact found,Отдел продаж,sa***@pachca.com,"Пачка — российский мессенджер с серверами в РФ, чатами, тредами, видеозвонками до 1000 участников и AI-агентами. Внесение в реестр Минцифры — аргумент для госкомпаний.",pachca.com,redacted in public portfolio,career.habr.com,email дозаполнен; masked public demo
1С-Битрикс,https://www.1c-bitrix.ru/,корпоративные порталы,public contact found,Отдел продаж,sa***@1c-bitrix.ru,1С-Битрикс продаёт корпоративные порталы и CMS для среднего и крупного бизнеса. Enterprise-клиенты с бюджетом — аутрич на IT-директоров может дать крупные сделки.,1c-bitrix.ru,redacted in public portfolio,1c-bitrix.ru/about/contacts.php,email дозаполнен; masked public demo
InSales,https://www.insales.ru/,платформа интернет-магазинов,public contact found,Коммерческий отдел,in***@insales.ru,"InSales — единый инструмент для интернет-продаж: магазин, маркетплейсы, соцсети и мессенджеры. Ваши клиенты переезжают с одного канала на омниканал — аутрич на эту боль будет работать.",insales.ru,redacted in public portfolio,insales.ru,email найден на сайте; masked public demo
AdvantShop,https://www.advantshop.net/,платформа интернет-магазинов,public contact found,Отдел продаж,pa***@advantshop.net,"AdvantShop — конструктор интернет-магазинов с поддержкой ПН-ПТ 8-20 и по выходным. Конкурируете с InSales и Tilda за малый бизнес — аутрич на тех, кто ещё не выбрал платформу.",advantshop.net,redacted in public portfolio,advantshop.net/contacts/,email найден на сайте; masked public demo
Shop-Script,https://www.shop-script.ru/,платформа интернет-магазинов,public contact found,Клиентский отдел,su***@webasyst.ru,"Shop-Script (Webasyst) — конструктор интернет-магазинов с уникальным дизайном, SEO и кассой. Российская платформа с фокусом на кастомизацию — ваш козырь для тех, кому Tilda слишком шаблонная.",shop-script.ru,redacted in public portfolio,webasyst.ru,email дозаполнен; masked public demo
MoyGrafik,https://moygrafik.ru/,сервис расписаний и учёта,public contact found,Коммерческий отдел,on***@moygrafik.ru,"MoyGrafik закрывает графики и учёт рабочего времени — это понятная боль для компаний с посменным персоналом в рознице, общепите и сервисе.",moygrafik.ru,redacted in public portfolio,startpack.ru,email дозаполнен; masked public demo
Webim,https://webim.ru/,онлайн-консультант,public contact found,Отдел продаж,sa***@webim.ru,"Webim — омниканальная чат-платформа для сайта, мессенджеров и соцсетей. Начать можно бесплатно — а значит аутрич на компании без онлайн-чата будет конвертироваться в триалы.",webim.ru,redacted in public portfolio,webim.ru,email найден на сайте; masked public demo
Chat2Desk,https://chat2desk.com/,мессенджеры для бизнеса,public contact found,Коммерческий отдел,in***@chat2desk.com,"Chat2Desk агрегирует WhatsApp, Telegram, ВКонтакте, Авито и онлайн-чаты. Ваш продукт решает конкретную проблему — «все мессенджеры в одном окне» — и это легко продаётся через аутрич.",chat2desk.com,redacted in public portfolio,career.habr.com,email дозаполнен; masked public demo
Edna,https://edna.ru/,омниканальные коммуникации,public contact found,Коммерческий отдел,in***@edna.ru,"Edna — IT-компания для омниканальных коммуникаций с офисом в Москве и активным присутствием в ВК, Дзен и Telegram. B2B-клиенты ищут единый канал связи — и аутрич может привлечь тех, кто ещё пользуется отдельными решениями.",edna.ru,redacted in public portfolio,edna.ru/contacts/,email найден на сайте; masked public demo
TrueConf,https://trueconf.ru/,видеоконференцсвязь,public contact found,Отдел продаж,sa***@trueconf.ru,"TrueConf продаёт видеоконференции для бизнеса — в локальной сети и через интернет. После ухода Zoom из РФ рынок открылся, и аутрич на компании, которые ищут замену, будет актуален.",trueconf.ru,redacted in public portfolio,trueconf.ru/contacts/,email найден на сайте; masked public demo
МойОфис,https://myoffice.ru/,офисное ПО,public contact found,Коммерческий отдел,co***@myoffice.team,"МойОфис — российские офисные пакеты для корпораций с контролем данных и отраслевыми стандартами безопасности. Импортозамещение — ваш главный драйвер, и аутрич на госсектор и крупный бизнес будет попадать в повестку.",myoffice.ru,redacted in public portfolio,myoffice.ru,email найден на сайте; masked public demo
